Team,Pts,F,A,GD
Chelsea,18,19,3,16
Liverpool,16,17,5,12
Tottenham,16,16,4,12
Burnley,15,14,8,6
Arsenal,14,10,3,7
West Brom,12,13,9,4
Man United,12,8,4,4
Everton,11,9,4,5
Stoke,11,9,4,5
Man City,11,9,7,2
Leicester,10,11,9,2
Middlesbrough,10,6,4,2
Sunderland,10,9,8,1
Watford,10,8,9,-1
West Ham,10,5,8,-3
Bournemouth,8,10,11,-1
Swansea,7,10,14,-4
Southampton,7,4,8,-4
Hull,6,8,12,-4
Crystal Palace,3,8,11,-3